"last_name, first_name","player_id","year","xwoba","exit_velocity_avg","launch_angle_avg","hard_hit_percent","sprint_speed",""
"Hunter, Torii","116338","2015",".294","88.5","10.8",34.9,"26.5",
"Ortiz, David","120074","2015",".420","93","15.7",49.1,"22.8",
"Rodriguez, Alex","121347","2015",".368","91.4","12",43.9,"23.9",
"Ramirez, Aramis","133380","2015",".304","87.4","15.8",34.5,"24.3",
"Beltre, Adrian","134181","2015",".360","89.5","12.6",40.4,"26.4",
"Beltran, Carlos","136860","2015",".346","90.6","15.6",41.9,"25.5",
"Werth, Jayson","150029","2015",".331","90","15.3",40.7,"25.9",
"Cuddyer, Michael","150212","2015",".296","87.5","7.8",30.8,"27.3",
"Pierzynski, A.J.","150229","2015",".318","85.4","10.5",25.7,"23.9",
"Rollins, Jimmy","276519","2015",".285","85.7","16.2",23.1,"27.0",
"Hamilton, Josh","285078","2015",".317","88.2","9.1",39.2,"27.6",
"Uribe, Juan","346874","2015",".304","88.8","10.7",35.6,"26.3",
"Suzuki, Ichiro","400085","2015",".256","83.2","3.3",13.8,"27.9",
"Martinez, Victor","400121","2015",".330","87.7","15",33.2,"22.3",
"Utley, Chase","400284","2015",".306","88.6","13.3",34.4,"27.5",
"Pujols, Albert","405395","2015",".346","90.7","14.2",38.3,"23.3",
"Byrd, Marlon","407781","2015",".311","86.3","12.1",31.1,"28.0",
"Holliday, Matt","407812","2015",".342","90.5","8.2",39.9,"25.9",
"Teixeira, Mark","407893","2015",".372","89.6","15.7",41.3,"24.4",
"Mauer, Joe","408045","2015",".338","89.5","4.4",39.9,"26.5",
"Morneau, Justin","408047","2015",".316","88.7","9.9",39.2,"25.5",
"Cabrera, Miguel","408234","2015",".432","93.8","12.2",53.3,"24.0",
"Gonzalez, Adrian","408236","2015",".368","88.8","14.2",36.8,"23.9",
"Phillips, Brandon","408252","2015",".316","86.2","10.7",26,"25.8",
"Infante, Omar","408299","2015",".251","84.2","14.2",20.4,"28.1",
"Crawford, Carl","408307","2015",".346","89.8","9.9",41.4,"28.2",
"Reyes, Jose","408314","2015",".265","84.6","13.3",18.6,"27.5",
"Ross, David","424325","2015",".232","87.7","18.3",33.7,"26.0",
"Crisp, Coco","424825","2015",".254","83.8","13.2",20.8,"28.1",
"Peralta, Jhonny","425509","2015",".332","88.2","13.4",34,"25.9",
"Barmes, Clint","425549","2015",".238","83.7","20.6",15.5,"26.2",
"LaRoche, Adam","425560","2015",".301","89.6","13.2",35.9,"24.3",
"Rios, Alex","425567","2015",".289","88.3","15.2",31.8,"28.2",
"Victorino, Shane","425664","2015",".275","83.4","17",17.9,"27.2",
"Loney, James","425766","2015",".293","85.5","12.1",21.5,"24.0",
"Mathis, Jeff","425772","2015",".239","85.8","12.9",29.2,"25.9",
"Choo, Shin-Soo","425783","2015",".357","90.9","7.7",44.1,"27.0",
"Rivera, Rene","425784","2015",".247","85.9","16.7",28.3,"24.6",
"Francoeur, Jeff","425796","2015",".290","88","14.2",33.3,"26.3",
"Upton Jr., B.J.","425834","2015",".320","88.8","12",37.2,"28.0",
"Molina, Yadier","425877","2015",".270","86.4","10.4",25.3,"23.3",
"Navarro, Dioner","425900","2015",".314","87.2","15.5",27.4,"22.5",
"Fielder, Prince","425902","2015",".350","90.9","9.9",44.5,"24.8",
"Cano, Robinson","429664","2015",".356","91","5.5",45.7,"24.5",
"Encarnacion, Edwin","429665","2015",".380","90.1","16.5",43.9,"25.0",
"Hardy, J.J.","429666","2015",".246","87.2","9.6",30.7,"26.4",
"Howard, Ryan","429667","2015",".359","91.3","14.9",45.2,"24.2",
"Gutierrez, Franklin","429711","2015",".379","90.8","9.8",46.6,"25.7",
"Sizemore, Grady","429713","2015",".312","89.2","12.4",36.4,"26.5",
"DeJesus, David","430203","2015",".293","86.8","12.5",27.3,"26.3",
"Young, Delmon","430321","2015",".318","88.1","9.5",35.6,"27.3",
"Gomes, Jonny","430404","2015",".260","88.1","18.3",33.3,"26.7",
"Raburn, Ryan","430605","2015",".370","90.7","11.6",47.7,"26.5",
"Johnson, Kelly","430637","2015",".301","87","12.6",33.9,"27.4",
"Bourgeois, Jason","430652","2015",".256","84.6","5.1",22,"28.4",
"Bautista, Jose","430832","2015",".390","92","16.9",45.6,"25.6",
"Swisher, Nick","430897","2015",".282","86.8","8.4",29.8,"24.3",
"Pena, Brayan","430910","2015",".275","85.6","8",17.2,"24.5",
"Jones, Adam","430945","2015",".338","88.2","11.3",34.5,"28.1",
"Aybar, Erick","430947","2015",".294","85.7","6.6",19.4,"27.9",
"Callaspo, Alberto","430948","2015",".286","84.2","12.5",17.6,"24.9",
"Hill, Aaron","431094","2015",".296","88.3","12.3",29.6,"27.7",
"Martin, Russell","431145","2015",".333","89.2","9.8",40,"26.2",
"Wright, David","431151","2015",".395","89.3","14.4",40.9,"25.4",
"McGehee, Casey","431171","2015",".275","88.6","5.3",34.2,"24.6",
"Blanco, Andres","433217","2015",".332","87.1","10.5",26.6,"26.9",
"Granderson, Curtis","434158","2015",".363","89.4","18.4",40,"27.7",
"Jones, Garrett","434540","2015",".284","89.1","12.3",38.3,"26.8",
"Ruiz, Carlos","434563","2015",".289","84.9","9.8",18,"25.6",
"Soto, Geovany","434567","2015",".321","90.1","13.4",42.4,"25.4",
"Morse, Michael","434604","2015",".326","90.4","0.4",39.2,"24.6",
"Pagan, Angel","434636","2015",".281","86.3","11.6",22.6,"28.2",
"Davis, Rajai","434658","2015",".281","86.7","12.4",28.3,"29.2",
"Ramirez, Hanley","434670","2015",".314","90.1","6.6",41.6,"26.5",
"Morales, Kendrys","434778","2015",".375","91.9","10.2",47.4,"24.3",
"Kendrick III, Howie","435062","2015",".325","90.3","1.2",41.4,"26.7",
"Napoli, Mike","435063","2015",".309","88.5","15.6",38.3,"25.2",
"Wilson, Bobby","435064","2015",".248","82.5","8.9",22.9,"24.5",
"Kinsler, Ian","435079","2015",".311","86.1","17.7",26.6,"26.9",
"McCann, Brian","435263","2015",".307","89.5","17.5",36.5,"23.2",
"Schumaker, Skip","435401","2015",".289","85.6","5.3",22.7,"26.4",
"Walker, Neil","435522","2015",".315","88.9","14",37.6,"26.2",
"Suzuki, Kurt","435559","2015",".286","87.7","13.7",29.9,"25.7",
"Desmond, Ian","435622","2015",".286","90.8","6.4",41.1,"28.7",
"Cruz Jr., Nelson","443558","2015",".386","92.7","9.3",47.8,"26.1",
"Jaso, John","444379","2015",".395","90.6","7.7",38.5,"25.3",
"Trumbo, Mark","444432","2015",".325","92","13.3",43,"27.2",
"Peralta, David","444482","2015",".355","91.6","6.7",43.4,"27.7",
"Ethier, Andre","444843","2015",".365","86.3","11",32.5,"27.3",
"Escobar, Alcides","444876","2015",".281","84.6","9.6",16.5,"27.4",
"Jay, Jon","445055","2015",".289","86.3","2.5",29.1,"26.2",
"Prado, Martin","445988","2015",".312","89","9.1",33.6,"26.9",
"Duda, Lucas","446263","2015",".372","91.7","19.8",42.3,"25.2",
"Wieters, Matt","446308","2015",".319","87","11.7",32.5,"24.8",
"Longoria, Evan","446334","2015",".340","89.6","15.4",39.7,"27.4",
"Cozart, Zack","446359","2015",".295","85.9","17",22.5,"27.2",
"Guyer, Brandon","446386","2015",".317","87","13.5",29.1,"28.2",
"Rodriguez, Sean","446481","2015",".266","86.9","8.3",25.9,"27.1",
"Lobaton, Jose","446653","2015",".283","87.4","11.2",29.3,"23.4",
"Reynolds, Mark","448602","2015",".290","87.7","13.2",33.1,"25.8",
"Ruggiano, Justin","448605","2015",".372","92","13.9",42.9,"26.7",
"Davis, Chris","448801","2015",".403","92","17.5",45.9,"27.0",
"Aviles, Mike","449107","2015",".281","86.8","10.7",30.6,"27.7",
"Orlando, Paulo","449181","2015",".302","87.9","10.3",37.7,"29.9",
"Corporan, Carlos","449786","2015",".241","85.9","16.8",23.9,"24.3",
"Zobrist, Ben","450314","2015",".324","88.6","8.2",34.9,"27.2",
"Peterson, Shane","451089","2015",".309","89.4","6.9",40,"27.1",
"Fowler, Dexter","451594","2015",".307","87.2","12.2",30.2,"28.4",
"Flowers, Tyler","452095","2015",".266","90.4","11.8",39.6,"25.6",
"Headley, Chase","452104","2015",".323","86.8","11.9",32.5,"25.6",
"Drew, Stephen","452220","2015",".267","86.4","16.9",25.7,"26.5",
"Smith, Seth","452234","2015",".337","89.9","11.7",42.4,"26.5",
"Maxwell, Justin","452239","2015",".283","88.3","10.3",32,"29.6",
"Lind, Adam","452252","2015",".328","89.5","10.7",36,"23.9",
"Pence, Hunter","452254","2015",".358","90.1","2.1",39,"28.8",
"Span, Denard","452655","2015",".360","87.7","7",32.7,"27.3",
"Hanigan, Ryan","452672","2015",".286","85.7","9.2",22.6,"26.1",
"Cabrera, Asdrubal","452678","2015",".292","88.3","17.3",32.3,"26.6",
"Ellsbury, Jacoby","453056","2015",".298","86.5","11.5",28.4,"27.5",
"Tulowitzki, Troy","453064","2015",".319","90","12.7",40.4,"26.2",
"Robinson, Shane","453203","2015",".270","84.1","8.6",21.9,"28.8",
"Stubbs, Drew","453211","2015",".220","89.8","18.2",33.8,"29.8",
"Johnson, Chris","453400","2015",".299","88.7","10.8",37.1,"26.1",
"Fuld, Sam","453539","2015",".263","85.2","3.2",21.8,"28.1",
"Blackmon, Charlie","453568","2015",".318","86.8","15",29,"27.9",
"Ryan, Brendan","453895","2015",".193","84.6","12",20.6,"27.6",
"Blanco, Gregor","453923","2015",".325","87.2","10.2",31.7,"28.4",
"Frazier, Todd","453943","2015",".331","89.6","18.8",38.8,"25.8",
"Ellis, A.J.","454560","2015",".342","87.7","9.8",32.2,"24.9",
"Iannetta, Chris","455104","2015",".287","89.7","16.5",35.4,"25.3",
"Maldonado, Martin","455117","2015",".240","87.5","10.8",30.5,"25.0",
"Chirinos, Robinson","455139","2015",".325","87","16.2",33.7,"25.7",
"Stewart, Chris","455755","2015",".277","83.2","7.9",16.3,"26.4",
"Young, Chris","455759","2015",".292","85.6","19.4",26,"27.7",
"Markakis, Nick","455976","2015",".305","88.3","6.8",33.6,"25.4",
"Pedroia, Dustin","456030","2015",".300","88.1","9",25.4,"27.0",
"Castillo, Welington","456078","2015",".342","89.3","12.5",36.5,"24.9",
"Denorfia, Chris","456121","2015",".308","88.1","5.5",37.1,"26.5",
"Bourn, Michael","456422","2015",".279","85.8","9.2",18.5,"28.0",
"Nunez, Eduardo","456488","2015",".282","88.7","2.8",31.5,"28.6",
"Pearce, Steve","456665","2015",".286","86.9","19.5",31.9,"26.9",
"Butler, Billy","456714","2015",".335","89.4","8.5",40.6,"23.6",
"Cain, Lorenzo","456715","2015",".364","90.2","9.5",38.1,"29.0",
"Saltalamacchia, Jarrod","457454","2015",".348","90.6","19.7",42.1,"26.3",
"De Aza, Alejandro","457477","2015",".298","86.8","14.8",23.3,"27.7",
"McCutchen, Andrew","457705","2015",".399","90.6","13.9",44.6,"28.5",
"Jackson, Austin","457706","2015",".304","89.6","7.3",39.8,"28.2",
"Upton, Justin","457708","2015",".327","89.8","16.2",39.2,"28.0",
"Maybin, Cameron","457727","2015",".312","88.2","2.1",35.9,"29.1",
"Turner, Justin","457759","2015",".369","89.5","14",37.9,"26.1",
"Posey III, Buster","457763","2015",".378","89","10.9",37.5,"25.2",
"Jennings, Desmond","457775","2015",".287","86.8","2.4",26.8,"27.6",
"Espinosa, Danny","457787","2015",".272","86.3","12.7",28.5,"27.8",
"Bruce, Jay","457803","2015",".325","89.7","15.6",37.6,"25.9",
"Votto, Joey","458015","2015",".422","90.2","11.5",42.2,"25.4",
"Coghlan, Chris","458085","2015",".325","88.5","11",33.3,"26.5",
"Rasmus, Colby","458675","2015",".310","89.5","21.1",35.5,"27.9",
"Gardner, Brett","458731","2015",".332","88.8","11.1",34.9,"28.8",
"Joyce, Matt","459964","2015",".270","85.7","16.1",27.9,"26.3",
"Hundley, Nick","460026","2015",".288","89.1","11.2",35.1,"26.0",
"Mayberry Jr., John","460055","2015",".262","86","10.9",22.1,"27.0",
"Pennington, Cliff","460060","2015",".287","86.8","13.1",26.2,"27.1",
"Braun, Ryan","460075","2015",".374","92.3","7.7",45.4,"27.3",
"Butera, Drew","460077","2015",".248","84.5","22.3",18.6,"25.4",
"Gordon, Alex","460086","2015",".331","88.4","15.7",34.1,"26.1",
"Reimold, Nolan","460099","2015",".296","86","10.9",28.5,"28.1",
"Gimenez, Chris","460269","2015",".349","87","15.2",28.9,"25.5",
"Gomez, Carlos","460576","2015",".309","88.2","13.6",33.1,"28.6",
"Moss, Brandon","461235","2015",".336","89.1","19.8",39.5,"26.8",
"Kemp, Matt","461314","2015",".336","89.5","12",40.5,"25.9",
"Venable, Will","461416","2015",".279","87","3.9",33.5,"27.8",
"Murphy, David","461815","2015",".294","88.3","7.8",35.2,"26.9",
"Plouffe, Trevor","461858","2015",".330","89.8","13.6",39.4,"26.3",
"Romine, Andrew","461865","2015",".239","85.6","3.6",22.4,"27.2",
"Andrus, Elvis","462101","2015",".288","87.3","10.1",27.1,"27.7",
"Uggla, Dan","462564","2015",".298","89.8","17",43.2,"28.1",
"Cervelli, Francisco","465041","2015",".326","88.2","6.9",35.6,"26.1",
"Ciriaco, Pedro","465674","2015",".240","82.3","11.5",14.7,"29.3",
"Cabrera, Everth","465784","2015",".233","88.5","-2",26,"27.2",
"Cabrera, Melky","466320","2015",".306","89.6","9.7",36.2,"25.8",
"Sandoval, Pablo","467055","2015",".279","88.1","9.9",33.5,"24.7",
"Herrera, Elian","467070","2015",".282","84.8","15.5",25.7,"27.8",
"Ramos, Wilson","467092","2015",".300","90.5","4.5",44.5,"23.9",
"Gomez, Hector","467143","2015",".250","86.2","14.2",29.2,"28.3",
"Santana, Carlos","467793","2015",".346","89.2","12.5",39.7,"25.5",
"Parra, Gerardo","467827","2015",".303","88.2","9.3",30,"26.6",
"Herrera, Jonathan","468406","2015",".187","83.7","14.8",14,"27.1",
"Montero, Miguel","471083","2015",".333","88.3","12.2",35.2,"24.3",
"Gonzalez, Carlos","471865","2015",".340","90.3","9.1",38.6,"26.4",
"Valbuena, Luis","472528","2015",".334","89.5","17.4",39.3,"25.5",
"Conger, Hank","474233","2015",".290","88.9","19.6",34.8,"24.1",
"De Jesus Jr., Ivan","474443","2015",".302","86.3","4.8",28.6,"26.0",
"Mercer, Jordy","474568","2015",".294","87.2","8.3",29.3,"27.7",
"Belt, Brandon","474832","2015",".373","89.8","16.3",41.8,"26.8",
"Carter, Chris","474892","2015",".331","91.2","21",46.9,"26.4",
"Van Slyke, Scott","475100","2015",".283","88.2","17.1",31.7,"27.5",
"Alonso, Yonder","475174","2015",".325","87.8","7.4",33.7,"24.8",
"Flaherty, Ryan","475247","2015",".272","89.4","10.3",32.1,"26.8",
"Smoak, Justin","475253","2015",".346","91","11.4",46.4,"24.0",
"Zimmerman, Ryan","475582","2015",".370","91.8","8",48.4,"26.0",
"Parmelee, Chris","476633","2015",".265","88.7","26",39.4,"27.3",
"Lowrie, Jed","476704","2015",".309","89","16.2",34.9,"26.3",
"Alvarez, Pedro","476883","2015",".343","91.9","7.1",47.1,"25.3",
"Wallace, Brett","477165","2015",".388","88.6","11.7",41.5,"24.8",
"Davis, Ike","477195","2015",".309","87.8","5.9",39.5,"25.0",
"Carrera, Ezequiel","485567","2015",".280","86.6","3.2",31.3,"28.4",
"Avila, Alex","488671","2015",".358","91.2","13.2",48.7,"24.6",
"Barnes, Brandon","488681","2015",".269","86.9","10.9",25.3,"27.3",
"Bourjos, Peter","488721","2015",".272","85.5","13",24.8,"29.6",
"Brantley Jr., Michael","488726","2015",".346","89","9.5",36.2,"25.9",
"Castro, Jason","488771","2015",".279","88.5","15.8",30.7,"26.4",
"Cruz, Tony","488810","2015",".263","85.1","7.8",28.3,"25.6",
"Escobar, Yunel","488862","2015",".335","89.7","4.3",36.3,"25.6",
"Gosewisch, Tuffy","488912","2015",".255","87.2","9.2",27.4,"25.0",
"Moore, Tyler","489138","2015",".279","88.7","15.8",35,"26.3",
"Morrison, Logan","489149","2015",".338","89.9","11.7",37.7,"26.5",
"Rosales, Adam","489267","2015",".276","86.3","10.6",29.8,"28.1",
"Sucre, Jesus","491696","2015",".201","86","11.3",25.2,"24.4",
"Aoki, Norichika","493114","2015",".292","85.4","1.8",19.6,"26.7",
"Cespedes, Yoenis","493316","2015",".380","92.2","12.2",44.8,"28.4",
"Ramirez, Alexei","493351","2015",".268","84.7","8.6",22.2,"26.5",
"Campbell, Eric","493472","2015",".356","87.5","9.1",36,"27.4",
"Beckham, Gordon","493596","2015",".253","84.7","11.4",23.1,"26.6",
"Colabello, Chris","499624","2015",".336","90","9.7",43.9,"26.1",
"Solarte, Yangervis","500208","2015",".298","88.1","11.5",31.4,"25.3",
"Rojas, Miguel","500743","2015",".292","87.8","4.4",30.8,"26.4",
"Escobar, Eduardo","500871","2015",".304","86.5","14",23.9,"27.5",
"Ynoa, Rafael","501255","2015",".223","83.1","9.1",17,"27.5",
"Adrianza, Ehire","501303","2015",".276","83.8","11.7",22.1,"27.0",
"Lagares, Juan","501571","2015",".275","90.7","8.2",40.2,"28.4",
"Rosario, Wilin","501647","2015",".269","88.3","5.8",33.9,"26.8",
"Almonte, Abraham","501659","2015",".326","88.8","6.8",34.1,"28.5",
"Freese, David","501896","2015",".328","89","6.4",38.4,"26.7",
"Davis, Khris","501981","2015",".344","89.8","12.5",42.9,"26.9",
"Snider, Travis","501983","2015",".289","88.3","10.1",38,"26.6",
"Pham, Tommy","502054","2015",".363","91.7","6.8",44.2,"28.6",
"Chisenhall, Lonnie","502082","2015",".289","85.7","16.5",30.5,"27.0",
"Martinez, J.D.","502110","2015",".396","91.3","16.2",48.5,"27.9",
"Negron, Kristopher","502117","2015",".264","83","9.2",15.3,"28.9",
"Brown, Domonic","502126","2015",".274","87","12.5",28.1,"27.3",
"Valencia, Danny","502143","2015",".355","91.9","6",46.6,"26.9",
"Clevenger, Steve","502182","2015",".274","89.9","9.4",31.8,"25.8",
"Reddick, Josh","502210","2015",".329","88.4","14.8",32.8,"27.8",
"Gillespie, Cole","502261","2015",".289","86.3","6.5",33.3,"28.0",
"McKenry, Michael","502374","2015",".317","90.2","15.7",36.8,"26.8",
"Dyson, Jarrod","502481","2015",".274","83.8","5.2",20,"29.5",
"Murphy, Daniel","502517","2015",".335","89.9","11.9",37.9,"25.7",
"Schafer, Logan","502582","2015",".267","89.1","10.7",30,"27.5",
"Goldschmidt, Paul","502671","2015",".403","92","12.9",46.3,"27.4",
"Gonzalez, Marwin","503556","2015",".289","88.8","11.2",34.3,"26.2",
"Amarista, Alexi","506560","2015",".250","85.6","11.2",16.2,"26.8",
"Leon, Sandy","506702","2015",".206","83.6","15.2",17.4,"24.4",
"Altuve, Jose","514888","2015",".300","86.1","11.2",28.6,"28.5",
"Tejada, Ruben","514913","2015",".321","85","12.5",23.8,"26.1",
"Hernandez, Cesar","514917","2015",".293","85.9","6",26.9,"29.9",
"Segura, Jean","516416","2015",".258","86.9","4.3",27.1,"28.7",
"Castro, Starlin","516770","2015",".280","86.3","7.1",28,"27.5",
"Marte, Starling","516782","2015",".344","87.8","5.5",35.1,"29.6",
"Perez, Eury","516811","2015",".289","82.7","4.9",16.2,"29.3",
"Paredes, Jimmy","517370","2015",".287","90.1","8.2",42.9,"27.4",
"Colon, Christian","518568","2015",".280","84.7","9.6",19.8,"26.2",
"d'Arnaud, Travis","518595","2015",".325","88.7","16.8",35.4,"26.6",
"Descalso, Daniel","518614","2015",".242","87.1","13.2",25.7,"27.4",
"Dietrich, Derek","518618","2015",".332","87.2","15.7",35.6,"27.6",
"Donaldson, Josh","518626","2015",".390","92.5","10.5",46.5,"26.6",
"Elmore, Jake","518653","2015",".251","84","9.7",11.6,"27.4",
"Freeman, Freddie","518692","2015",".418","90.6","14.4",44.7,"25.4",
"Grandal, Yasmani","518735","2015",".343","90.7","11.5",42.3,"24.0",
"Heyward, Jason","518792","2015",".317","89.1","4.6",34.6,"27.3",
"Kozma, Pete","518902","2015",".232","83.2","19.4",11.4,"28.4",
"LeMahieu, DJ","518934","2015",".319","90.5","2.9",40.3,"27.2",
"Lough, David","518953","2015",".238","84.5","14",20.8,"29.0",
"Lucroy, Jonathan","518960","2015",".332","88.8","9.7",33.8,"25.5",
"Middlebrooks, Will","519025","2015",".300","88.6","15.4",36.2,"28.0",
"Moreland, Mitch","519048","2015",".362","91.4","11.5",45.9,"24.8",
"Moustakas, Mike","519058","2015",".339","89.4","15.2",36.5,"25.6",
"Norris, Derek","519083","2015",".270","87.1","14",35.1,"28.0",
"Revere, Ben","519184","2015",".298","83.1","5.1",14.6,"28.4",
"Rizzo, Anthony","519203","2015",".383","88.7","17.3",38.3,"26.0",
"Robinson, Clint","519208","2015",".362","89.9","11.8",35.7,"25.9",
"Rupp, Cameron","519237","2015",".303","88.8","14.2",34.8,"25.3",
"Smolinski, Jake","519295","2015",".307","87.5","13.7",30.5,"27.8",
"Sogard, Eric","519299","2015",".276","85.5","11.6",18.7,"26.4",
"Souza Jr., Steven","519306","2015",".297","88.9","13.9",39,"28.6",
"Stanton, Giancarlo","519317","2015",".411","96.1","15.7",52.9,"27.1",
"Vogt, Stephen","519390","2015",".322","86.9","16.4",30.1,"26.0",
"Galvis, Freddy","520471","2015",".272","86.1","13.2",22.1,"27.2",
"Perez, Salvador","521692","2015",".298","87.3","13",32.6,"25.5",
"Forsythe, Logan","523253","2015",".323","88.4","15.4",32.2,"28.4",
"Montero, Jesus","524968","2015",".294","91.2","13.3",42.5,"26.4",
"Flores, Wilmer","527038","2015",".270","86.4","14.6",25.7,"25.8",
"Nava, Daniel","537953","2015",".307","86.5","13.3",32.4,"26.6",
"Garcia, Avisail","541645","2015",".324","88.5","6.8",37.5,"29.1",
"Perez, Hernan","541650","2015",".263","86.3","12.1",28.8,"28.0",
"Bethancourt, Christian","542194","2015",".254","87.3","9.1",31.1,"28.3",
"Perez, Carlos","542208","2015",".272","86.2","12.2",23.7,"26.3",
"Inciarte, Ender","542255","2015",".286","85.5","6.8",19.9,"28.0",
"Ozuna, Marcell","542303","2015",".326","91.8","7.2",45,"28.2",
"Villar, Jonathan","542340","2015",".295","90.7","2.8",38.2,"27.9",
"Santana, Danny","542454","2015",".214","86.1","5.9",23.5,"28.8",
"Beckham, Tim","542921","2015",".282","87","8.8",37.7,"28.3",
"Burns, Billy","542993","2015",".260","83.2","8.1",14.7,"29.1",
"Butler, Joey","542994","2015",".301","90.1","2.4",39.4,"28.1",
"Crawford, Brandon","543063","2015",".349","90.3","8.6",42.9,"26.8",
"Cron, C.J.","543068","2015",".324","88.3","11.9",35.8,"26.0",
"Giavotella, Johnny","543213","2015",".291","85.8","10",19.6,"28.0",
"Gillaspie, Conor","543216","2015",".261","87.1","9.5",26.6,"24.9",
"Gomes, Yan","543228","2015",".303","87.5","17.7",32.8,"26.7",
"Gose, Anthony","543238","2015",".276","88.2","6.1",30.7,"28.3",
"Harrison, Josh","543281","2015",".287","86.4","12",24.4,"27.2",
"Herrmann, Chris","543302","2015",".209","86.7","10.8",31.3,"27.4",
"Hicks, Aaron","543305","2015",".329","88.8","11.9",33.3,"28.4",
"Hosmer, Eric","543333","2015",".361","89.8","6",40.8,"27.1",
"Joseph, Caleb","543376","2015",".319","87.7","16.3",31.7,"26.5",
"Kipnis, Jason","543401","2015",".349","89.4","9.2",38.5,"27.3",
"Lavarnway, Ryan","543432","2015",".313","90.8","17.6",43.9,"24.8",
"Lawrie, Brett","543434","2015",".302","90","7.4",39.1,"29.6",
"Mahtook, Mikie","543484","2015",".390","91.3","14.3",42.7,"28.5",
"McCann, James","543510","2015",".284","88.3","8.6",37.3,"26.8",
"Miller, Brad","543543","2015",".323","90","8.4",40.1,"27.7",
"Nieuwenhuis, Kirk","543590","2015",".283","90.7","9.1",41.8,"26.9",
"Rendon, Anthony","543685","2015",".327","90.3","10.1",35.5,"27.7",
"Sands, Jerry","543742","2015",".281","90.8","10.1",40.9,"26.1",
"Semien, Marcus","543760","2015",".298","87.1","13.6",28.9,"28.9",
"Shaw, Travis","543768","2015",".329","88.6","15.4",36.8,"26.0",
"Shuck, JB","543776","2015",".275","83.9","3.4",23.5,"28.8",
"Springer III, George","543807","2015",".364","89.9","9.1",41.5,"28.8",
"Strange-Gordon, Dee","543829","2015",".283","84.5","2.1",17,"29.0",
"Wong, Kolten","543939","2015",".309","87.5","11.3",33.8,"27.5",
"Gregorius, Didi","544369","2015",".291","85.4","10.4",24.5,"28.4",
"den Dekker, Matthew","544925","2015",".339","88.8","14",35.8,"28.9",
"Franklin, Nick","545338","2015",".251","85.9","16.3",24.6,"27.2",
"Grichuk, Randal","545341","2015",".338","92.2","16.3",46.3,"28.7",
"Marisnick, Jake","545350","2015",".266","85.7","13.9",26.2,"29.5",
"Trout, Mike","545361","2015",".422","92.9","14",48.6,"29.7",
"Herrera, Odubel","546318","2015",".291","88.7","7.5",33.9,"27.9",
"Harper, Bryce","547180","2015",".418","91.4","14.7",47.5,"27.7",
"Perez, Roberto","547379","2015",".328","90.6","3.3",39.4,"25.6",
"Martin, Leonys","547982","2015",".253","87.9","8.4",30,"28.1",
"Abreu, Jose","547989","2015",".338","91","9.9",41.8,"25.6",
"Suarez, Eugenio","553993","2015",".278","88.6","14.8",33.5,"27.0",
"Ackley, Dustin","554429","2015",".323","90.8","11.7",42.5,"26.5",
"Polanco, Gregory","570256","2015",".312","89.9","10.4",39.8,"28.5",
"Santana, Domingo","570267","2015",".338","87.6","6.8",34.3,"28.2",
"Urshela, Gio","570482","2015",".298","87.2","14.8",33.8,"26.8",
"Sanchez, Yolmer","570560","2015",".263","85.4","6.6",20.6,"27.7",
"Schoop, Jonathan","570731","2015",".329","89.8","12.8",40.6,"26.8",
"Adams, Matt","571431","2015",".293","89.1","11.6",34.8,"25.4",
"Altherr, Aaron","571437","2015",".312","90.9","11.6",43.4,"29.5",
"Arenado, Nolan","571448","2015",".336","90.6","16.3",40.2,"26.1",
"Barnhart, Tucker","571466","2015",".279","85.6","8.5",19.3,"25.6",
"Bour, Justin","571506","2015",".317","90.8","8.7",43,"24.3",
"Gennett, Scooter","571697","2015",".252","85.2","11.1",22.5,"26.8",
"Hamilton, Billy","571740","2015",".255","83.7","11",8.9,"29.8",
"Hernandez, Enrique","571771","2015",".324","90.4","11",43.4,"27.1",
"Holt, Brock","571788","2015",".299","86.6","7.8",24.2,"28.6",
"Lamb, Jake","571875","2015",".320","89.6","11.8",37.9,"26.6",
"Muncy, Max","571970","2015",".264","88.2","18.3",26.4,"27.3",
"Murphy, John Ryan","571974","2015",".312","89.7","8.4",42.2,"27.2",
"Myers, Wil","571976","2015",".335","89.5","9.8",40,"28.6",
"Owings, Chris","572008","2015",".261","86.9","14.6",24.9,"28.6",
"Paulsen, Ben","572019","2015",".308","88.3","10.7",34.2,"26.8",
"Phegley, Josh","572033","2015",".286","85.7","15.8",27.4,"26.2",
"Piscotty, Stephen","572039","2015",".362","89.8","12",41.3,"27.9",
"Pollock, AJ","572041","2015",".347","88.9","8.9",39.1,"29.0",
"Seager, Kyle","572122","2015",".353","89.3","16.8",34.6,"26.0",
"Susac, Andrew","572180","2015",".263","89.7","8.2",37.8,"25.5",
"Taylor, Michael A.","572191","2015",".288","88.7","9.8",35.6,"28.8",
"Thompson, Trayce","572204","2015",".379","88.1","11.4",36.5,"28.5",
"Zunino, Mike","572287","2015",".258","88.8","21.8",33.8,"26.6",
"Goins, Ryan","572365","2015",".285","87.3","4.6",32.1,"27.3",
"Carpenter, Matt","572761","2015",".389","88.9","16.9",35.8,"27.0",
"Dickerson, Corey","572816","2015",".350","89.7","14.5",38.1,"26.8",
"Dozier, Brian","572821","2015",".299","87.2","19.1",31.1,"27.8",
"Ruf, Darin","573131","2015",".329","90","12.6",42.1,"25.6",
